estimator,covid,controls,dep,dropped_state,n,debt_coef,t,debt_p_bootstrap
Pooled,keep COVID year,no controls,ihs_fdi,Gujarat,43,-0.23024871009360398,-3.614271029434804,0.0
Pooled,keep COVID year,no controls,ihs_fdi,Haryana,43,-0.25253274170850665,-4.180573360792007,0.0010005002501250625
Pooled,keep COVID year,no controls,ihs_fdi,Jharkhand,43,-0.18666867786690722,-7.127523780678478,0.0
Pooled,keep COVID year,no controls,ihs_fdi,Karnataka,43,-0.1984101962262201,-3.426773345316196,0.0
Pooled,keep COVID year,no controls,ihs_fdi,Maharashtra,43,-0.24631463167946996,-3.9196317507927882,0.0065032516258129065
Pooled,keep COVID year,no controls,ihs_fdi,Rajasthan,43,-0.22866150873667762,-4.082480625829002,0.01900950475237619
Pooled,keep COVID year,no controls,ihs_fdi,Tamil Nadu,43,-0.2604307622854434,-4.197579196854236,0.0
Pooled,keep COVID year,no controls,ihs_fdi,Telangana,43,-0.249682600722901,-4.1805981697297465,0.008504252126063032
Pooled,keep COVID year,no controls,ihs_fdi,Uttar Pradesh,45,-0.25517373803239407,-3.351994584183496,0.0030015007503751876
Pooled,keep COVID year,no controls,ihs_fdi,West Bengal,43,-0.2691917943845032,-4.173054096260726,0.013506753376688344
Pooled,keep COVID year,Census controls,log_fdi,none,48,-0.17601768050095465,-2.7215825045821735,0.048024012006003
Pooled,keep COVID year,Census controls,log_fdi,Gujarat,43,-0.18722310004237733,-2.357841178462804,0.13056528264132067
Pooled,keep COVID year,Census controls,log_fdi,Haryana,43,-0.19171615372881706,-2.808100047124554,0.04252126063031516
Pooled,keep COVID year,Census controls,log_fdi,Jharkhand,43,-0.145704343179396,-3.868406337140806,0.058529264632316155
Pooled,keep COVID year,Census controls,log_fdi,Karnataka,43,-0.10917521052204843,-1.8493795823785384,0.09104552276138068
Pooled,keep COVID year,Census controls,log_fdi,Maharashtra,43,-0.20880688713633855,-2.9709047010376417,0.12056028014007003
Pooled,keep COVID year,Census controls,log_fdi,Rajasthan,43,-0.18911277969390575,-2.5305210326940517,0.04402201100550275
Pooled,keep COVID year,Census controls,log_fdi,Tamil Nadu,43,-0.13820655192838413,-2.4929537689405183,0.2666333166583292
Pooled,keep COVID year,Census controls,log_fdi,Telangana,43,-0.20403165534542503,-2.57810181208867,0.06353176588294147
Pooled,keep COVID year,Census controls,log_fdi,Uttar Pradesh,45,-0.1806035149785069,-2.400689585116171,0.1660830415207604
Pooled,keep COVID year,Census controls,log_fdi,West Bengal,43,-0.1790958276114047,-1.9312620288140117,0.256128064032016
Pooled,keep COVID year,Census controls,ihs_fdi,none,48,-0.17601748663817046,-2.7216297815844124,0.061030515257628815
Pooled,keep COVID year,Census controls,ihs_fdi,Gujarat,43,-0.18722241032746822,-2.357880698513435,0.13156578289144572
Pooled,keep COVID year,Census controls,ihs_fdi,Haryana,43,-0.19171563340457326,-2.8081428977768863,0.03901950975487744
Pooled,keep COVID year,Census controls,ihs_fdi,Jharkhand,43,-0.14570504104416698,-3.8683973591075196,0.07453726863431716
Pooled,keep COVID year,Census controls,ihs_fdi,Karnataka,43,-0.10917567578614157,-1.8494225787500678,0.08904452226113056
Pooled,keep COVID year,Census controls,ihs_fdi,Maharashtra,43,-0.20880490202238197,-2.970914779251701,0.11255627813906953
Pooled,keep COVID year,Census controls,ihs_fdi,Rajasthan,43,-0.18911247933238362,-2.530573890767144,0.0560280140070035
Pooled,keep COVID year,Census controls,ihs_fdi,Tamil Nadu,43,-0.13820766592888611,-2.493025957474633,0.2836418209104552
Pooled,keep COVID year,Census controls,ihs_fdi,Telangana,43,-0.204031335915749,-2.57816230057158,0.06953476738369184
